#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2024 01 03 21 10 329  7.1 999 99.0 9999
2024 01 03 21 20 335  7.1 999 99.0 9999
2024 01 03 21 30 331  6.9 999 99.0 9999
2024 01 03 21 40 339  7.1 999 99.0 9999
2024 01 03 21 50 345  6.2 999 99.0 9999
2024 01 03 22 00 342  6.2 342  9.4 2133
2024 01 03 22 10 333  7.6 999 99.0 9999
2024 01 03 22 20 332  7.2 999 99.0 9999
2024 01 03 22 30 327  7.5 999 99.0 9999
2024 01 03 22 40 332  8.0 999 99.0 9999
2024 01 03 22 50 338  8.4 999 99.0 9999
2024 01 03 23 00 337  6.9 339 10.3 2245
2024 01 03 23 10 333  7.2 999 99.0 9999
2024 01 03 23 20 329  8.0 999 99.0 9999
2024 01 03 23 30 331  7.2 999 99.0 9999
2024 01 03 23 40 319  8.0 999 99.0 9999
2024 01 03 23 50 323  8.0 999 99.0 9999
2024 01 04 00 00 321  8.1 319 10.2 2339
2024 01 04 01 00 345 10.4 346 11.5 0058
2024 01 04 01 10 336  9.6 999 99.0 9999
2024 01 04 01 20 331  9.6 999 99.0 9999
2024 01 04 01 30 332 10.5 999 99.0 9999
2024 01 04 01 40 334  9.8 999 99.0 9999
2024 01 04 01 50 341 10.3 999 99.0 9999
2024 01 04 02 00 342 10.5 344 13.0 0155
2024 01 04 02 10 336 10.2 999 99.0 9999
2024 01 04 02 20 335 11.1 999 99.0 9999
2024 01 04 02 30 332 10.6 999 99.0 9999
2024 01 04 02 40 334  9.6 999 99.0 9999
2024 01 04 02 50 337  9.5 999 99.0 9999
2024 01 04 03 00 335 10.0 337 13.2 0200
2024 01 04 03 10 344 10.5 999 99.0 9999
2024 01 04 03 20 350 10.5 999 99.0 9999
2024 01 04 03 30 351 10.0 999 99.0 9999
2024 01 04 03 40 352  9.5 999 99.0 9999
2024 01 04 03 50 353  9.5 999 99.0 9999
2024 01 04 04 00 349  9.3 351 12.4 0320
2024 01 04 04 10 354  9.0 999 99.0 9999
2024 01 04 04 20 355  9.3 999 99.0 9999
2024 01 04 04 30 353  9.2 999 99.0 9999
2024 01 04 04 40 344  8.6 999 99.0 9999
2024 01 04 04 50 344  9.2 999 99.0 9999
2024 01 04 05 00 345  9.9 342 11.6 0454
2024 01 04 05 10 344  9.6 999 99.0 9999
2024 01 04 05 20 345  9.0 999 99.0 9999
2024 01 04 05 30 340  9.2 999 99.0 9999
2024 01 04 05 40 342  8.7 999 99.0 9999
2024 01 04 05 50 335  8.8 999 99.0 9999
2024 01 04 06 00 344  8.8 340 11.6 0526
2024 01 04 06 10 341  9.0 999 99.0 9999
2024 01 04 06 20 337 10.1 999 99.0 9999
2024 01 04 06 30 343 11.1 999 99.0 9999
2024 01 04 06 40 341 10.9 999 99.0 9999
2024 01 04 06 50 340 11.0 999 99.0 9999
2024 01 04 07 00 341 11.4 341 13.6 0657
2024 01 04 07 10 339 10.8 999 99.0 9999
2024 01 04 07 20 332 10.6 999 99.0 9999
2024 01 04 07 30 335 10.2 999 99.0 9999
2024 01 04 07 40 345 10.3 999 99.0 9999
2024 01 04 07 50 341  8.8 999 99.0 9999
2024 01 04 08 00 338  8.0 338 12.7 0708
2024 01 04 08 10 337  8.2 999 99.0 9999
2024 01 04 08 20 341  8.2 999 99.0 9999
2024 01 04 08 30 342  8.2 999 99.0 9999
2024 01 04 08 40 349  7.9 999 99.0 9999
2024 01 04 08 50 350  8.1 999 99.0 9999
2024 01 04 09 00 353  8.1 346 10.9 0813
2024 01 04 09 10 344  8.2 999 99.0 9999
2024 01 04 09 20 349  7.7 999 99.0 9999
2024 01 04 09 30 345  7.5 999 99.0 9999
2024 01 04 09 40 341  6.3 999 99.0 9999
2024 01 04 09 50 336  6.5 999 99.0 9999
2024 01 04 10 00 345  6.0 349 10.0 0920
2024 01 04 10 10 348  6.1 999 99.0 9999
2024 01 04 10 20 351  6.1 999 99.0 9999
2024 01 04 10 30 354  6.5 999 99.0 9999
2024 01 04 10 40 340  7.2 999 99.0 9999
2024 01 04 10 50 333  7.8 999 99.0 9999
2024 01 04 11 00 337  7.9 333 10.6 1046
2024 01 04 11 10 343  8.0 999 99.0 9999
2024 01 04 11 20 342  8.0 999 99.0 9999
2024 01 04 11 30 340  8.2 999 99.0 9999
2024 01 04 11 40 341  8.8 999 99.0 9999
2024 01 04 11 50 343  8.2 999 99.0 9999
2024 01 04 12 00 337  8.3 343 10.9 1140
2024 01 04 12 10 339  8.5 999 99.0 9999
2024 01 04 12 20 343  8.0 999 99.0 9999
2024 01 04 12 30 346  8.3 999 99.0 9999
2024 01 04 12 40 342  8.4 999 99.0 9999
2024 01 04 12 50 342  8.8 999 99.0 9999
2024 01 04 13 00 338  8.6 347 10.8 1243
2024 01 04 13 10 336  9.5 999 99.0 9999
2024 01 04 13 20 333  9.4 999 99.0 9999
2024 01 04 13 30 335  8.7 999 99.0 9999
2024 01 04 13 40 345  8.0 999 99.0 9999
2024 01 04 13 50 346  7.4 999 99.0 9999
2024 01 04 14 00 351  7.4 335 11.5 1307
2024 01 04 14 10 355  8.2 999 99.0 9999
2024 01 04 14 20 347  8.2 999 99.0 9999
2024 01 04 14 30 343  8.2 999 99.0 9999
2024 01 04 14 40 344  8.9 999 99.0 9999
2024 01 04 14 50 334  9.1 999 99.0 9999
2024 01 04 15 00 341  9.0 348 12.0 1420
2024 01 04 15 10 343  8.9 999 99.0 9999
2024 01 04 15 20 338  8.6 999 99.0 9999
2024 01 04 15 30 337  8.1 999 99.0 9999
2024 01 04 15 40 332  7.6 999 99.0 9999
2024 01 04 15 50 331  7.4 999 99.0 9999
2024 01 04 16 00 329  6.4 343 11.0 1506
