clade_name	TrimGalore/WM01_S1_R1_001_val_1.fq.gz	TrimGalore/WM02_S2_R1_001_val_1.fq.gz	TrimGalore/WM03_S3_R1_001_val_1.fq.gz	TrimGalore/WM04_S4_R1_001_val_1.fq.gz	TrimGalore/WM05_S5_R1_001_val_1.fq.gz	TrimGalore/WM11_S6_R1_001_val_1.fq.gz	TrimGalore/WM12_S7_R1_001_val_1.fq.gz	TrimGalore/WM13_S8_R1_001_val_1.fq.gz	TrimGalore/WM14_S9_R1_001_val_1.fq.gz	TrimGalore/WM15_S10_R1_001_val_1.fq.gz	TrimGalore/WM16_S11_R1_001_val_1.fq.gz	TrimGalore/WM17_S12_R1_001_val_1.fq.gz	TrimGalore/WM18_S13_R1_001_val_1.fq.gz	TrimGalore/WM19_S14_R1_001_val_1.fq.gz	TrimGalore/WM20_S15_R1_001_val_1.fq.gz	TrimGalore/WM21_S16_R1_001_val_1.fq.gz	TrimGalore/WM22_S17_R1_001_val_1.fq.gz	TrimGalore/WM23_S18_R1_001_val_1.fq.gz	TrimGalore/WM24_S19_R1_001_val_1.fq.gz
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__CAIXPF01	0.0	0.0	0.0	0.1068	0.1154	0.2265	0.1784	0.1956	0.1827	0.1379	0.1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__CAIXPF01|g__CAIXPF01	0.0	0.0	0.0	0.1068	0.1154	0.2265	0.1784	0.1956	0.1827	0.1379	0.1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__CAIXPF01|g__CAIXPF01|s__CAIXPF01 sp947476745	0.0	0.0	0.0	0.1068	0.1154	0.2265	0.1784	0.1956	0.1827	0.1379	0.1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__CAIXPF01|g__CAIXPF01|s__CAIXPF01 sp947476745|t__GCA_947476745.1	0.0	0.0	0.0	0.1068	0.1154	0.2265	0.1784	0.1956	0.1827	0.1379	0.1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	1.723	2.2147	0.8865	2.6264000000000003	4.0545	2.9474	3.323399999999999	3.1455	3.1867	3.147	4.4377	0.0353	0.0	0.0	0.0497	0.2331	0.3112	0.0259	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27	0.8493999999999999	1.4512	0.4528999999999999	1.3705	2.4666	1.5026	1.8859	1.8583	1.6236	1.6787999999999998	2.9486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp016462185	0.0523	0.0925	0.0505	0.0651	0.091	0.0	0.0757	0.0852	0.0	0.0441	0.0677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp016462185|t__GCA_016462185.1	0.0523	0.0925	0.0505	0.0651	0.091	0.0	0.0757	0.0852	0.0	0.0441	0.0677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp016463105	0.4463	1.0987	0.4024	0.9335	1.3923	0.6103	1.1384	1.0036	0.6305	0.8352	1.3835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp016463105|t__GCA_016463105.1	0.4463	1.0987	0.4024	0.9335	1.3923	0.6103	1.1384	1.0036	0.6305	0.8352	1.3835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945861325	0.1097	0.0882	0.0	0.1304	0.2481	0.2383	0.1653	0.1528	0.2165	0.1594	0.2413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945861325|t__GCA_945861325.1	0.1097	0.0882	0.0	0.1304	0.2481	0.2383	0.1653	0.1528	0.2165	0.1594	0.2413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
