k	p	c	o	f	g	s	otu
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Elsterales	f__Elsteraceae	g__unknown	s__unknown	o__OTU1188
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Polymorphobacter	s__unknown	o__OTU119
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__unknown	g__unknown	s__unknown	o__OTU1196
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU1197
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__unknown	o__OTU1198
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__unknown	o__OTU12
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1202
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	s__unknown	o__OTU1211
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU1214
k__Bacteria	p__Chloroflexi	c__SL56 marine group	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU12146
k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1217
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__BD1-7 clade	s__unknown	o__OTU1218
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1219
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	o__OTU1220
k__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__unknown	g__unknown	s__unknown	o__OTU1221
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU1223
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1228
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Candidatus Udaeobacter	s__	o__OTU12285
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__unknown	s__unknown	o__OTU1229
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__unknown	o__OTU1230
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU1233
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU1234
