k	p	c	o	f	g	s	otu
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__unknown	o__OTU253
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__unknown	o__OTU2533
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Sporichthya	s__unknown	o__OTU2534
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU254
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__37-13	g__unknown	s__unknown	o__OTU2543
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU2551
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU2556
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU256
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Phyllobacterium	s__unknown	o__OTU2560
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__CL500-3	s__unknown	o__OTU2562
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__CL500-29 marine group	s__unknown	o__OTU258
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU2581
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Blastopirellula	s__unknown	o__OTU2583
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__Terrimicrobium	s__unknown	o__OTU259
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium swingsii	o__OTU26
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__unknown	o__OTU260
k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosopumilales	f__Nitrosopumilaceae	g__unknown	s__unknown	o__OTU2601
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Paracaedibacterales	f__Paracaedibacteraceae	g__unknown	s__unknown	o__OTU261
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__unknown	o__OTU2619
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU2620
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__	f__	g__unknown	s__unknown	o__OTU2633
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__unknown	s__unknown	o__OTU2640
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU2644
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__unknown	o__OTU266
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU2666
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Edaphobaculum	s__unknown	o__OTU2668
k__Bacteria	p__Planctomycetota	c__BD7-11	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU2678
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Paludibaculum	f__unknown	g__unknown	s__unknown	o__OTU268
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__unknown	o__OTU2684
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__unknown	o__OTU2692
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__unknown	o__OTU2694
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides vulgatus	o__OTU27
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__unknown	g__unknown	s__unknown	o__OTU2705
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU2713
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella geestiana	o__OTU2716
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU272
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__unknown	o__OTU273
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU274
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU2754
k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Thermomicrobiales	f__JG30-KF-CM45	g__	s__unknown	o__OTU276
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU2763
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Longivirga	s__unknown	o__OTU2766
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__unknown	g__unknown	s__unknown	o__OTU2792
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU28
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU280
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU2804
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU282
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__DSSD61	s__unknown	o__OTU283
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__unknown	o__OTU2838
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU2851
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__unknown	o__OTU286
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Leptothrix	s__unknown	o__OTU2861
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU2868
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__unknown	o__OTU287
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__	o__OTU288
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__unknown	g__unknown	s__unknown	o__OTU2881
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU2885
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU2891
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unknown	o__OTU2894
k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Synechococcales	f__Cyanobiaceae	g__Cyanobium PCC-6307	s__unknown	o__OTU2897
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__Cenchrus americanus	o__OTU29
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylorosula	s__unknown	o__OTU2905
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU2906
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__unknown	s__unknown	o__OTU2907
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU2910
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__Afipia sp. Root123D2	o__OTU292
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__unknown	o__OTU2922
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__unknown	o__OTU2925
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU293
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__unknown	o__OTU2941
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__Betaproteobacteria bacterium	o__OTU2944
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU2951
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__unknown	o__OTU296
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU2967
k__Bacteria	p__Dependentiae	c__Babeliae	o__Babeliales	f__	g__unknown	s__unknown	o__OTU2969
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudorhodobacter	s__Rhodobacter sp.	o__OTU297
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unknown	o__OTU2975
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhizobacter	s__unknown	o__OTU298
k__Bacteria	p__Chloroflexi	c__SL56 marine group	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU2983
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__unknown	o__OTU2984
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU299
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__unknown	s__unknown	o__OTU2991
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter sp.	o__OTU3
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__unknown	o__OTU30
k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__unknown	o__OTU300
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__MND1	s__unknown	o__OTU3005
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unknown	g__unknown	s__unknown	o__OTU3019
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU3020
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__Sphingopyxis sp.	o__OTU3022
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__unknown	s__unknown	o__OTU3024
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__unknown	o__OTU303
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__unknown	o__OTU3043
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU305
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU3056
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__alpha proteobacterium	o__OTU306
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__unknown	s__unknown	o__OTU3068
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unknown	o__OTU307
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__unknown	o__OTU3071
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__	o__OTU31
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__unknown	o__OTU311
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU3116
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	s__unknown	o__OTU3125
k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU3131
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Methylacidiphilales	f__Methylacidiphilaceae	g__unknown	s__unknown	o__OTU3136
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter profundus	o__OTU314
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU3146
k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Thermomicrobiales	f__JG30-KF-CM45	g__unknown	s__unknown	o__OTU3159
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__unknown	g__unknown	s__unknown	o__OTU316
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella pneumophila	o__OTU3161
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__unknown	s__unknown	o__OTU317
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unknown	o__OTU3175
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU318
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__unknown	o__OTU319
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU320
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__unknown	s__unknown	o__OTU322
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU3222
k__Bacteria	p__unknown	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU3231
k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia ilealis	o__OTU3238
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__B1-7BS	g__unknown	s__unknown	o__OTU324
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__unknown	o__OTU3243
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU325
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__unknown	o__OTU3258
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU326
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__unknown	s__unknown	o__OTU328
k__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Thermomicrobiales	f__JG30-KF-CM45	g__unknown	s__unknown	o__OTU3289
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU329
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Crocinitomicaceae	g__Fluviicola	s__unknown	o__OTU3290
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__	o__OTU3298
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__CCM19a	f__unknown	g__unknown	s__unknown	o__OTU330
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU332
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__unknown	s__unknown	o__OTU333
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__unknown	s__unknown	o__OTU3337
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__OLB12	s__unknown	o__OTU334
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU3347
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__unknown	s__unknown	o__OTU3349
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU335
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Cereibacter	s__Rhodobacter sp.	o__OTU336
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__unknown	o__OTU337
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__Sphingorhabdus wooponensis	o__OTU3371
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU338
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Parviterribacter	s__unknown	o__OTU3386
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides vulgatus	o__OTU3387
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Rhizorhapis	s__unknown	o__OTU339
k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__unknown	o__OTU3392
k__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__Deinococcus radiodurans	o__OTU34
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Terrimonas	s__Hypsibius dujardini	o__OTU340
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Candidatus Udaeobacter	s__unknown	o__OTU3401
k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus Nomurabacteria	f__unknown	g__unknown	s__unknown	o__OTU3416
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__unknown	g__unknown	s__unknown	o__OTU342
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU343
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Lawsonella	s__unknown	o__OTU3448
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__	g__unknown	s__unknown	o__OTU345
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU3461
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU347
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unknown	g__unknown	s__unknown	o__OTU3475
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__Phreatobacter	s__unknown	o__OTU348
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__unknown	o__OTU3484
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__unknown	s__	o__OTU3485
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU3487
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__unknown	o__OTU3490
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__unknown	o__OTU35
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU352
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU3523
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	o__OTU3536
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__unknown	o__OTU354
k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__JGI 0000069-P22	f__unknown	g__unknown	s__unknown	o__OTU3540
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__unknown	s__unknown	o__OTU3547
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__unknown	o__OTU355
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__unknown	g__unknown	s__unknown	o__OTU356
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__unknown	o__OTU3587
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter sp.	o__OTU359
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unknown	o__OTU36
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium-Methylorubrum	s__unknown	o__OTU360
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU3603
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU361
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU362
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU363
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__unknown	g__unknown	s__unknown	o__OTU3651
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU3654
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU3658
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU367
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Aetherobacter	s__Aetherobacter rufus	o__OTU368
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__alpha proteobacterium	o__OTU3680
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__unknown	g__unknown	s__unknown	o__OTU3689
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__AAP99	s__Derxia sp.	o__OTU369
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__unknown	o__OTU3698
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__DSSD61	s__unknown	o__OTU370
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unknown	s__	o__OTU371
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU373
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Methylibium	s__unknown	o__OTU374
