bin	id
WM11_S6_019	K05710
WM11_S6_019	K05714
WM11_S6_019	K05785
WM11_S6_019	K05801
WM11_S6_019	K05803
WM11_S6_019	K05807
WM11_S6_019	K05810
WM11_S6_019	K05834
WM11_S6_019	K05837
WM11_S6_019	K05844
WM11_S6_019	K05882
WM11_S6_019	K05972
WM11_S6_019	K05979
WM11_S6_019	K05986
WM11_S6_019	K05996
WM11_S6_019	K06020
WM11_S6_019	K06041
WM11_S6_019	K06046
WM11_S6_019	K06076
WM11_S6_019	K06131
WM11_S6_019	K06142
WM11_S6_019	K06147
WM11_S6_019	K06149
WM11_S6_019	K06153
WM11_S6_019	K06158
WM11_S6_019	K06167
WM11_S6_019	K06168
WM11_S6_019	K06169
WM11_S6_019	K06173
WM11_S6_019	K06178
WM11_S6_019	K06179
WM11_S6_019	K06180
WM11_S6_019	K06181
WM11_S6_019	K06183
WM11_S6_019	K06187
WM11_S6_019	K06194
WM11_S6_019	K06198
WM11_S6_019	K06203
WM11_S6_019	K06207
WM11_S6_019	K06211
WM11_S6_019	K06213
WM11_S6_019	K06217
WM11_S6_019	K06221
WM11_S6_019	K06223
WM11_S6_019	K06287
WM11_S6_019	K06306
WM11_S6_019	K06330
WM11_S6_019	K06381
WM11_S6_019	K06400
WM11_S6_019	K06402
WM11_S6_019	K06413
WM11_S6_019	K06861
WM11_S6_019	K06872
WM11_S6_019	K06881
WM11_S6_019	K06885
WM11_S6_019	K06888
WM11_S6_019	K06889
WM11_S6_019	K06894
WM11_S6_019	K06900
WM11_S6_019	K06902
WM11_S6_019	K06911
WM11_S6_019	K06915
WM11_S6_019	K06917
WM11_S6_019	K06921
WM11_S6_019	K06927
WM11_S6_019	K06941
WM11_S6_019	K06949
WM11_S6_019	K06954
WM11_S6_019	K06959
WM11_S6_019	K06969
WM11_S6_019	K06973
WM11_S6_019	K06974
WM11_S6_019	K06976
WM11_S6_019	K06978
WM11_S6_019	K06987
WM11_S6_019	K06988
WM11_S6_019	K06997
WM11_S6_019	K06998
WM11_S6_019	K06999
WM11_S6_019	K07001
WM11_S6_019	K07003
WM11_S6_019	K07004
WM11_S6_019	K07007
WM11_S6_019	K07025
WM11_S6_019	K07027
WM11_S6_019	K07029
WM11_S6_019	K07031
WM11_S6_019	K07032
WM11_S6_019	K07038
WM11_S6_019	K07040
WM11_S6_019	K07045
WM11_S6_019	K07047
WM11_S6_019	K07052
WM11_S6_019	K07056
WM11_S6_019	K07058
WM11_S6_019	K07059
WM11_S6_019	K07071
WM11_S6_019	K07082
WM11_S6_019	K07090
WM11_S6_019	K07091
WM11_S6_019	K07098
WM11_S6_019	K07106
WM11_S6_019	K07107
WM11_S6_019	K07114
WM11_S6_019	K07124
WM11_S6_019	K07130
WM11_S6_019	K07137
WM11_S6_019	K07146
WM11_S6_019	K07148
WM11_S6_019	K07152
WM11_S6_019	K07164
WM11_S6_019	K07165
WM11_S6_019	K07175
WM11_S6_019	K07221
WM11_S6_019	K07259
WM11_S6_019	K07263
WM11_S6_019	K07264
WM11_S6_019	K07273
WM11_S6_019	K07277
WM11_S6_019	K07289
WM11_S6_019	K07304
WM11_S6_019	K07313
WM11_S6_019	K07315
WM11_S6_019	K07317
WM11_S6_019	K07338
WM11_S6_019	K07386
WM11_S6_019	K07391
WM11_S6_019	K07394
WM11_S6_019	K07397
WM11_S6_019	K07448
WM11_S6_019	K07453
WM11_S6_019	K07456
WM11_S6_019	K07459
WM11_S6_019	K07461
WM11_S6_019	K07462
WM11_S6_019	K07478
WM11_S6_019	K07491
WM11_S6_019	K07501
WM11_S6_019	K07507
WM11_S6_019	K07559
WM11_S6_019	K07566
WM11_S6_019	K07568
WM11_S6_019	K07576
WM11_S6_019	K07588
WM11_S6_019	K07636
WM11_S6_019	K07646
WM11_S6_019	K07648
WM11_S6_019	K07652
WM11_S6_019	K07658
WM11_S6_019	K07667
WM11_S6_019	K07672
WM11_S6_019	K07679
WM11_S6_019	K07683
WM11_S6_019	K07696
WM11_S6_019	K07704
WM11_S6_019	K07705
WM11_S6_019	K07710
WM11_S6_019	K07713
WM11_S6_019	K07714
WM11_S6_019	K07720
WM11_S6_019	K07734
WM11_S6_019	K07777
WM11_S6_019	K07787
WM11_S6_019	K07798
WM11_S6_019	K08082
WM11_S6_019	K08097
WM11_S6_019	K08153
WM11_S6_019	K08225
WM11_S6_019	K08234
WM11_S6_019	K08264
WM11_S6_019	K08289
WM11_S6_019	K08296
WM11_S6_019	K08301
WM11_S6_019	K08307
WM11_S6_019	K08316
WM11_S6_019	K08364
WM11_S6_019	K08369
WM11_S6_019	K08482
WM11_S6_019	K08589
WM11_S6_019	K08591
WM11_S6_019	K08602
WM11_S6_019	K08641
WM11_S6_019	K08651
WM11_S6_019	K08660
WM11_S6_019	K08676
WM11_S6_019	K08678
WM11_S6_019	K08682
WM11_S6_019	K08715
WM11_S6_019	K08723
WM11_S6_019	K08956
WM11_S6_019	K08976
WM11_S6_019	K08984
WM11_S6_019	K08988
WM11_S6_019	K08994
WM11_S6_019	K08995
WM11_S6_019	K08999
WM11_S6_019	K09001
WM11_S6_019	K09013
WM11_S6_019	K09014
WM11_S6_019	K09015
WM11_S6_019	K09017
WM11_S6_019	K09257
WM11_S6_019	K09458
WM11_S6_019	K09471
WM11_S6_019	K09524
WM11_S6_019	K09667
WM11_S6_019	K09690
WM11_S6_019	K09691
WM11_S6_019	K09698
WM11_S6_019	K09701
WM11_S6_019	K09710
WM11_S6_019	K09726
WM11_S6_019	K09747
WM11_S6_019	K09748
WM11_S6_019	K09771
WM11_S6_019	K09790
WM11_S6_019	K09792
WM11_S6_019	K09807
WM11_S6_019	K09808
WM11_S6_019	K09810
WM11_S6_019	K09811
WM11_S6_019	K09812
WM11_S6_019	K09822
WM11_S6_019	K09874
WM11_S6_019	K09903
WM11_S6_019	K09915
WM11_S6_019	K09929
WM11_S6_019	K09930
WM11_S6_019	K09933
WM11_S6_019	K09935
WM11_S6_019	K09941
WM11_S6_019	K09953
WM11_S6_019	K09973
WM11_S6_019	K09974
WM11_S6_019	K10012
WM11_S6_019	K10026
WM11_S6_019	K10106
WM11_S6_019	K10217
WM11_S6_019	K10277
WM11_S6_019	K10301
WM11_S6_019	K10348
WM11_S6_019	K10536
WM11_S6_019	K10614
WM11_S6_019	K10679
WM11_S6_019	K10716
WM11_S6_019	K10718
WM11_S6_019	K10742
WM11_S6_019	K10764
WM11_S6_019	K10773
WM11_S6_019	K10804
WM11_S6_019	K10807
WM11_S6_019	K10808
WM11_S6_019	K10810
WM11_S6_019	K10859
WM11_S6_019	K10979
WM11_S6_019	K11022
WM11_S6_019	K11085
WM11_S6_019	K11102
WM11_S6_019	K11166
WM11_S6_019	K11175
WM11_S6_019	K11354
WM11_S6_019	K11355
WM11_S6_019	K11381
WM11_S6_019	K11383
WM11_S6_019	K11443
WM11_S6_019	K11494
WM11_S6_019	K11527
WM11_S6_019	K11618
WM11_S6_019	K11645
WM11_S6_019	K11693
WM11_S6_019	K11717
WM11_S6_019	K11720
WM11_S6_019	K11744
WM11_S6_019	K11749
WM11_S6_019	K11751
WM11_S6_019	K11752
WM11_S6_019	K11753
WM11_S6_019	K11754
