bin	name	count
WM02_S2_002	08_Hydrocarbon degradation	19
WM02_S2_002	10_TCA cycle	29
WM02_S2_002	15_Methylotrophy	19
WM02_S2_002	07_Nucleic acid metabolism	119
WM02_S2_002	14_Methanogenesis	20
WM02_S2_002	02_Homoacetogenesis	52
WM02_S2_002	16_Embden Meyerhof-Parnos (EMP)	36
WM02_S2_002	17_Gluconeogenesis	22
WM02_S2_002	11_Nitrogen cycle	11
WM02_S2_002	19_Saccharide and derivated synthesis	342
WM02_S2_002	09_Carbohydrate Active enzyme - CAZy	48
WM02_S2_002	18_Sulfur compounds metabolism	25
WM02_S2_002	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	13
WM02_S2_002	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	6
WM02_S2_002	12_Transporters	84
WM02_S2_005	21_Cellular response to stress	264
WM02_S2_005	06_Amino acid utilization biosynthesis metabolism	384
WM02_S2_005	01_Fermentation	137
WM02_S2_005	08_Hydrocarbon degradation	14
WM02_S2_005	15_Methylotrophy	10
WM02_S2_005	19_Saccharide and derivated synthesis	164
WM02_S2_005	07_Nucleic acid metabolism	95
WM02_S2_005	02_Homoacetogenesis	32
WM02_S2_005	16_Embden Meyerhof-Parnos (EMP)	30
WM02_S2_005	17_Gluconeogenesis	12
WM02_S2_005	10_TCA cycle	23
WM02_S2_005	05_Fatty acid oxidation	26
WM02_S2_005	11_Nitrogen cycle	8
WM02_S2_005	09_Carbohydrate Active enzyme - CAZy	35
WM02_S2_005	18_Sulfur compounds metabolism	3
WM02_S2_005	20_Hydrolysis of polymers	45
WM02_S2_005	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	6
WM02_S2_005	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM02_S2_005	14_Methanogenesis	2
WM02_S2_005	12_Transporters	75
WM02_S2_010	01_Fermentation	263
WM02_S2_010	21_Cellular response to stress	465
WM02_S2_010	06_Amino acid utilization biosynthesis metabolism	378
WM02_S2_010	20_Hydrolysis of polymers	105
WM02_S2_010	08_Hydrocarbon degradation	9
WM02_S2_010	10_TCA cycle	25
WM02_S2_010	15_Methylotrophy	23
WM02_S2_010	19_Saccharide and derivated synthesis	283
WM02_S2_010	07_Nucleic acid metabolism	85
WM02_S2_010	14_Methanogenesis	24
WM02_S2_010	16_Embden Meyerhof-Parnos (EMP)	36
WM02_S2_010	02_Homoacetogenesis	54
WM02_S2_010	05_Fatty acid oxidation	11
WM02_S2_010	11_Nitrogen cycle	17
WM02_S2_010	18_Sulfur compounds metabolism	36
WM02_S2_010	09_Carbohydrate Active enzyme - CAZy	39
WM02_S2_010	17_Gluconeogenesis	15
WM02_S2_010	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	14
WM02_S2_010	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	8
WM02_S2_010	12_Transporters	84
WM02_S2_010	13_Hydrogen metabolism	6
WM02_S2_012	01_Fermentation	70
WM02_S2_012	20_Hydrolysis of polymers	16
WM02_S2_012	06_Amino acid utilization biosynthesis metabolism	58
WM02_S2_012	21_Cellular response to stress	78
WM02_S2_012	08_Hydrocarbon degradation	3
WM02_S2_012	14_Methanogenesis	5
WM02_S2_012	02_Homoacetogenesis	9
WM02_S2_012	05_Fatty acid oxidation	4
WM02_S2_012	09_Carbohydrate Active enzyme - CAZy	8
WM02_S2_012	16_Embden Meyerhof-Parnos (EMP)	7
WM02_S2_012	07_Nucleic acid metabolism	18
WM02_S2_012	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	2
WM02_S2_012	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM02_S2_012	19_Saccharide and derivated synthesis	29
WM02_S2_012	15_Methylotrophy	1
WM02_S2_012	17_Gluconeogenesis	2
WM02_S2_012	12_Transporters	33
WM02_S2_012	18_Sulfur compounds metabolism	1
WM02_S2_014	01_Fermentation	186
WM02_S2_014	21_Cellular response to stress	423
WM02_S2_014	06_Amino acid utilization biosynthesis metabolism	364
WM02_S2_014	20_Hydrolysis of polymers	83
WM02_S2_014	05_Fatty acid oxidation	27
WM02_S2_014	08_Hydrocarbon degradation	15
WM02_S2_014	10_TCA cycle	17
WM02_S2_014	15_Methylotrophy	8
WM02_S2_014	19_Saccharide and derivated synthesis	257
WM02_S2_014	07_Nucleic acid metabolism	64
WM02_S2_014	14_Methanogenesis	3
WM02_S2_014	11_Nitrogen cycle	18
WM02_S2_014	02_Homoacetogenesis	39
WM02_S2_014	09_Carbohydrate Active enzyme - CAZy	53
WM02_S2_014	16_Embden Meyerhof-Parnos (EMP)	12
WM02_S2_014	18_Sulfur compounds metabolism	24
WM02_S2_014	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	11
WM02_S2_014	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	2
WM02_S2_014	17_Gluconeogenesis	9
WM02_S2_014	12_Transporters	90
WM02_S2_014	13_Hydrogen metabolism	4
WM02_S2_017	01_Fermentation	471
WM02_S2_017	21_Cellular response to stress	451
WM02_S2_017	06_Amino acid utilization biosynthesis metabolism	609
WM02_S2_017	20_Hydrolysis of polymers	162
WM02_S2_017	05_Fatty acid oxidation	35
WM02_S2_017	08_Hydrocarbon degradation	23
WM02_S2_017	10_TCA cycle	48
WM02_S2_017	15_Methylotrophy	36
WM02_S2_017	19_Saccharide and derivated synthesis	260
WM02_S2_017	07_Nucleic acid metabolism	143
WM02_S2_017	14_Methanogenesis	15
WM02_S2_017	02_Homoacetogenesis	103
WM02_S2_017	16_Embden Meyerhof-Parnos (EMP)	34
WM02_S2_017	17_Gluconeogenesis	14
WM02_S2_017	11_Nitrogen cycle	9
WM02_S2_017	18_Sulfur compounds metabolism	47
WM02_S2_017	09_Carbohydrate Active enzyme - CAZy	101
WM02_S2_017	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	14
WM02_S2_017	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	7
WM02_S2_017	12_Transporters	132
WM02_S2_017	13_Hydrogen metabolism	11
WM02_S2_019	01_Fermentation	69
WM02_S2_019	21_Cellular response to stress	93
WM02_S2_019	20_Hydrolysis of polymers	31
WM02_S2_019	06_Amino acid utilization biosynthesis metabolism	100
WM02_S2_019	13_Hydrogen metabolism	1
WM02_S2_019	11_Nitrogen cycle	2
WM02_S2_019	07_Nucleic acid metabolism	38
WM02_S2_019	08_Hydrocarbon degradation	4
WM02_S2_019	02_Homoacetogenesis	19
WM02_S2_019	10_TCA cycle	1
WM02_S2_019	05_Fatty acid oxidation	6
WM02_S2_019	19_Saccharide and derivated synthesis	69
WM02_S2_019	09_Carbohydrate Active enzyme - CAZy	24
WM02_S2_019	16_Embden Meyerhof-Parnos (EMP)	6
WM02_S2_019	18_Sulfur compounds metabolism	1
WM02_S2_019	15_Methylotrophy	4
WM02_S2_019	14_Methanogenesis	2
WM02_S2_019	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM02_S2_019	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	2
WM02_S2_019	12_Transporters	116
WM02_S2_019	17_Gluconeogenesis	1
WM02_S2_020	01_Fermentation	295
WM02_S2_020	21_Cellular response to stress	556
WM02_S2_020	20_Hydrolysis of polymers	119
WM02_S2_020	06_Amino acid utilization biosynthesis metabolism	332
WM02_S2_020	10_TCA cycle	20
WM02_S2_020	15_Methylotrophy	21
WM02_S2_020	07_Nucleic acid metabolism	74
WM02_S2_020	08_Hydrocarbon degradation	17
WM02_S2_020	14_Methanogenesis	33
WM02_S2_020	05_Fatty acid oxidation	34
WM02_S2_020	11_Nitrogen cycle	12
WM02_S2_020	18_Sulfur compounds metabolism	33
WM02_S2_020	13_Hydrogen metabolism	5
WM02_S2_020	02_Homoacetogenesis	61
WM02_S2_020	19_Saccharide and derivated synthesis	284
WM02_S2_020	09_Carbohydrate Active enzyme - CAZy	56
WM02_S2_020	16_Embden Meyerhof-Parnos (EMP)	38
WM02_S2_020	17_Gluconeogenesis	13
WM02_S2_020	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	20
WM02_S2_020	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	6
WM02_S2_020	12_Transporters	111
WM02_S2_022	01_Fermentation	106
WM02_S2_022	21_Cellular response to stress	75
WM02_S2_022	20_Hydrolysis of polymers	16
WM02_S2_022	06_Amino acid utilization biosynthesis metabolism	85
WM02_S2_022	19_Saccharide and derivated synthesis	22
WM02_S2_022	05_Fatty acid oxidation	16
WM02_S2_022	14_Methanogenesis	3
WM02_S2_022	02_Homoacetogenesis	14
WM02_S2_022	18_Sulfur compounds metabolism	6
WM02_S2_022	09_Carbohydrate Active enzyme - CAZy	11
WM02_S2_022	16_Embden Meyerhof-Parnos (EMP)	6
WM02_S2_022	07_Nucleic acid metabolism	20
WM02_S2_022	17_Gluconeogenesis	2
WM02_S2_022	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	2
WM02_S2_022	08_Hydrocarbon degradation	1
WM02_S2_022	10_TCA cycle	1
WM02_S2_022	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	2
WM02_S2_022	11_Nitrogen cycle	1
WM02_S2_022	12_Transporters	23
WM02_S2_024	01_Fermentation	51
WM02_S2_024	05_Fatty acid oxidation	17
WM02_S2_024	06_Amino acid utilization biosynthesis metabolism	77
WM02_S2_024	10_TCA cycle	3
WM02_S2_024	15_Methylotrophy	4
WM02_S2_024	07_Nucleic acid metabolism	15
WM02_S2_024	02_Homoacetogenesis	15
WM02_S2_024	16_Embden Meyerhof-Parnos (EMP)	8
WM02_S2_024	17_Gluconeogenesis	3
WM02_S2_024	21_Cellular response to stress	122
WM02_S2_024	09_Carbohydrate Active enzyme - CAZy	10
WM02_S2_024	20_Hydrolysis of polymers	26
WM02_S2_024	19_Saccharide and derivated synthesis	79
WM02_S2_024	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	3
WM02_S2_024	18_Sulfur compounds metabolism	7
WM02_S2_024	11_Nitrogen cycle	2
WM02_S2_024	12_Transporters	29
WM02_S2_026	21_Cellular response to stress	291
WM02_S2_026	20_Hydrolysis of polymers	75
WM02_S2_026	06_Amino acid utilization biosynthesis metabolism	391
WM02_S2_026	01_Fermentation	172
WM02_S2_026	05_Fatty acid oxidation	30
WM02_S2_026	08_Hydrocarbon degradation	19
WM02_S2_026	10_TCA cycle	27
WM02_S2_026	15_Methylotrophy	13
WM02_S2_026	19_Saccharide and derivated synthesis	186
WM02_S2_026	07_Nucleic acid metabolism	124
WM02_S2_026	14_Methanogenesis	12
WM02_S2_026	02_Homoacetogenesis	47
WM02_S2_026	16_Embden Meyerhof-Parnos (EMP)	28
WM02_S2_026	17_Gluconeogenesis	12
WM02_S2_026	11_Nitrogen cycle	9
WM02_S2_026	09_Carbohydrate Active enzyme - CAZy	46
WM02_S2_026	18_Sulfur compounds metabolism	26
WM02_S2_026	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	11
WM02_S2_026	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	5
WM02_S2_026	12_Transporters	58
WM02_S2_030	01_Fermentation	159
WM02_S2_030	21_Cellular response to stress	486
WM02_S2_030	20_Hydrolysis of polymers	62
WM02_S2_030	06_Amino acid utilization biosynthesis metabolism	190
WM02_S2_030	02_Homoacetogenesis	28
WM02_S2_030	07_Nucleic acid metabolism	56
WM02_S2_030	14_Methanogenesis	7
WM02_S2_030	15_Methylotrophy	15
WM02_S2_030	05_Fatty acid oxidation	16
WM02_S2_030	08_Hydrocarbon degradation	8
WM02_S2_030	10_TCA cycle	19
WM02_S2_030	16_Embden Meyerhof-Parnos (EMP)	9
WM02_S2_030	11_Nitrogen cycle	6
WM02_S2_030	09_Carbohydrate Active enzyme - CAZy	25
WM02_S2_030	19_Saccharide and derivated synthesis	167
WM02_S2_030	17_Gluconeogenesis	8
WM02_S2_030	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
WM02_S2_030	18_Sulfur compounds metabolism	8
WM02_S2_030	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
WM02_S2_030	12_Transporters	51
WM02_S2_033	01_Fermentation	128
WM02_S2_033	21_Cellular response to stress	115
WM02_S2_033	20_Hydrolysis of polymers	30
WM02_S2_033	15_Methylotrophy	8
WM02_S2_033	06_Amino acid utilization biosynthesis metabolism	135
WM02_S2_033	10_TCA cycle	7
WM02_S2_033	14_Methanogenesis	20
WM02_S2_033	11_Nitrogen cycle	2
WM02_S2_033	18_Sulfur compounds metabolism	7
WM02_S2_033	02_Homoacetogenesis	19
WM02_S2_033	07_Nucleic acid metabolism	28
WM02_S2_033	09_Carbohydrate Active enzyme - CAZy	17
WM02_S2_033	19_Saccharide and derivated synthesis	73
