bin	name	count
WM03_S3_023	Metabolism	524
WM03_S3_023	Environmental Information Processing	74
WM03_S3_023	Organismal Systems	27
WM03_S3_023	Human Diseases	41
WM03_S3_023	Brite Hierarchies	513
WM03_S3_023	Cellular Processes	84
WM03_S3_023	Not Included in Pathway or Brite	130
WM03_S3_023	Genetic Information Processing	78
WM03_S3_024	Metabolism	638
WM03_S3_024	Brite Hierarchies	588
WM03_S3_024	Environmental Information Processing	130
WM03_S3_024	Human Diseases	88
WM03_S3_024	Organismal Systems	23
WM03_S3_024	Not Included in Pathway or Brite	109
WM03_S3_024	Genetic Information Processing	66
WM03_S3_024	Cellular Processes	73
WM03_S3_026	Metabolism	897
WM03_S3_026	Environmental Information Processing	261
WM03_S3_026	Brite Hierarchies	961
WM03_S3_026	Organismal Systems	54
WM03_S3_026	Human Diseases	177
WM03_S3_026	Not Included in Pathway or Brite	242
WM03_S3_026	Genetic Information Processing	87
WM03_S3_026	Cellular Processes	238
WM03_S3_028	Metabolism	1238
WM03_S3_028	Environmental Information Processing	134
WM03_S3_028	Brite Hierarchies	1000
WM03_S3_028	Not Included in Pathway or Brite	299
WM03_S3_028	Human Diseases	95
WM03_S3_028	Organismal Systems	53
WM03_S3_028	Cellular Processes	141
WM03_S3_028	Genetic Information Processing	166
WM03_S3_029	Metabolism	672
WM03_S3_029	Human Diseases	88
WM03_S3_029	Brite Hierarchies	856
WM03_S3_029	Not Included in Pathway or Brite	169
WM03_S3_029	Environmental Information Processing	142
WM03_S3_029	Organismal Systems	34
WM03_S3_029	Genetic Information Processing	114
WM03_S3_029	Cellular Processes	156
WM03_S3_030	Metabolism	312
WM03_S3_030	Organismal Systems	19
WM03_S3_030	Brite Hierarchies	278
WM03_S3_030	Human Diseases	19
WM03_S3_030	Environmental Information Processing	42
WM03_S3_030	Genetic Information Processing	50
WM03_S3_030	Not Included in Pathway or Brite	59
WM03_S3_030	Cellular Processes	33
WM03_S3_032	Metabolism	887
WM03_S3_032	Cellular Processes	77
WM03_S3_032	Human Diseases	111
WM03_S3_032	Brite Hierarchies	1012
WM03_S3_032	Not Included in Pathway or Brite	222
WM03_S3_032	Environmental Information Processing	114
WM03_S3_032	Organismal Systems	42
WM03_S3_032	Genetic Information Processing	143
WM03_S3_033	Metabolism	934
WM03_S3_033	Environmental Information Processing	122
WM03_S3_033	Cellular Processes	73
WM03_S3_033	Human Diseases	138
WM03_S3_033	Brite Hierarchies	1014
WM03_S3_033	Not Included in Pathway or Brite	207
WM03_S3_033	Organismal Systems	56
WM03_S3_033	Genetic Information Processing	157
WM03_S3_035	Metabolism	1048
WM03_S3_035	Environmental Information Processing	84
WM03_S3_035	Cellular Processes	91
WM03_S3_035	Human Diseases	108
WM03_S3_035	Brite Hierarchies	849
WM03_S3_035	Not Included in Pathway or Brite	190
WM03_S3_035	Organismal Systems	57
WM03_S3_035	Genetic Information Processing	134
WM03_S3_036	Metabolism	302
WM03_S3_036	Brite Hierarchies	500
WM03_S3_036	Not Included in Pathway or Brite	98
WM03_S3_036	Genetic Information Processing	25
WM03_S3_036	Cellular Processes	123
WM03_S3_036	Organismal Systems	16
WM03_S3_036	Human Diseases	27
WM03_S3_036	Environmental Information Processing	130
WM03_S3_038	Metabolism	359
WM03_S3_038	Brite Hierarchies	318
WM03_S3_038	Human Diseases	45
WM03_S3_038	Environmental Information Processing	44
WM03_S3_038	Genetic Information Processing	34
WM03_S3_038	Not Included in Pathway or Brite	85
WM03_S3_038	Cellular Processes	35
WM03_S3_038	Organismal Systems	13
WM03_S3_041	Metabolism	532
WM03_S3_041	Human Diseases	93
WM03_S3_041	Brite Hierarchies	588
WM03_S3_041	Environmental Information Processing	75
WM03_S3_041	Organismal Systems	24
WM03_S3_041	Not Included in Pathway or Brite	162
WM03_S3_041	Genetic Information Processing	61
WM03_S3_041	Cellular Processes	72
WM03_S3_045	Metabolism	408
WM03_S3_045	Human Diseases	112
WM03_S3_045	Brite Hierarchies	455
WM03_S3_045	Environmental Information Processing	43
WM03_S3_045	Organismal Systems	23
WM03_S3_045	Not Included in Pathway or Brite	55
WM03_S3_045	Genetic Information Processing	111
WM03_S3_045	Cellular Processes	31
WM03_S3_046	Metabolism	1269
WM03_S3_046	Environmental Information Processing	340
WM03_S3_046	Human Diseases	164
WM03_S3_046	Brite Hierarchies	1279
WM03_S3_046	Not Included in Pathway or Brite	217
WM03_S3_046	Organismal Systems	68
WM03_S3_046	Cellular Processes	283
WM03_S3_046	Genetic Information Processing	151
WM03_S3_048	Metabolism	723
WM03_S3_048	Organismal Systems	35
WM03_S3_048	Human Diseases	75
WM03_S3_048	Brite Hierarchies	805
WM03_S3_048	Not Included in Pathway or Brite	182
WM03_S3_048	Environmental Information Processing	145
WM03_S3_048	Genetic Information Processing	116
WM03_S3_048	Cellular Processes	141
WM03_S3_049	Metabolism	510
WM03_S3_049	Brite Hierarchies	456
WM03_S3_049	Environmental Information Processing	69
WM03_S3_049	Human Diseases	170
WM03_S3_049	Organismal Systems	40
WM03_S3_049	Not Included in Pathway or Brite	71
WM03_S3_049	Genetic Information Processing	130
WM03_S3_049	Cellular Processes	51
WM03_S3_051	Metabolism	735
WM03_S3_051	Cellular Processes	92
WM03_S3_051	Human Diseases	71
WM03_S3_051	Brite Hierarchies	775
WM03_S3_051	Not Included in Pathway or Brite	158
WM03_S3_051	Environmental Information Processing	107
WM03_S3_051	Organismal Systems	27
WM03_S3_051	Genetic Information Processing	140
WM03_S3_052	Metabolism	887
WM03_S3_052	Environmental Information Processing	85
WM03_S3_052	Organismal Systems	58
WM03_S3_052	Cellular Processes	64
WM03_S3_052	Human Diseases	138
WM03_S3_052	Brite Hierarchies	788
WM03_S3_052	Not Included in Pathway or Brite	158
WM03_S3_052	Genetic Information Processing	116
WM04_S4_001	Metabolism	810
WM04_S4_001	Environmental Information Processing	192
WM04_S4_001	Brite Hierarchies	1160
WM04_S4_001	Not Included in Pathway or Brite	227
WM04_S4_001	Human Diseases	131
WM04_S4_001	Organismal Systems	64
WM04_S4_001	Cellular Processes	101
WM04_S4_001	Genetic Information Processing	145
WM04_S4_002	Metabolism	1205
WM04_S4_002	Environmental Information Processing	306
WM04_S4_002	Organismal Systems	166
WM04_S4_002	Cellular Processes	164
WM04_S4_002	Human Diseases	281
WM04_S4_002	Brite Hierarchies	1683
WM04_S4_002	Not Included in Pathway or Brite	325
WM04_S4_002	Genetic Information Processing	170
WM04_S4_005	Metabolism	1061
WM04_S4_005	Environmental Information Processing	162
WM04_S4_005	Organismal Systems	80
WM04_S4_005	Human Diseases	235
WM04_S4_005	Brite Hierarchies	1282
WM04_S4_005	Not Included in Pathway or Brite	278
WM04_S4_005	Cellular Processes	214
WM04_S4_005	Genetic Information Processing	194
WM04_S4_006	Metabolism	777
WM04_S4_006	Brite Hierarchies	799
WM04_S4_006	Not Included in Pathway or Brite	216
WM04_S4_006	Organismal Systems	37
WM04_S4_006	Human Diseases	143
WM04_S4_006	Environmental Information Processing	171
WM04_S4_006	Genetic Information Processing	64
WM04_S4_006	Cellular Processes	125
WM04_S4_009	Metabolism	1066
WM04_S4_009	Environmental Information Processing	160
WM04_S4_009	Cellular Processes	116
WM04_S4_009	Human Diseases	148
WM04_S4_009	Brite Hierarchies	1213
WM04_S4_009	Not Included in Pathway or Brite	275
WM04_S4_009	Organismal Systems	60
WM04_S4_009	Genetic Information Processing	194
WM04_S4_014	Metabolism	1201
WM04_S4_014	Organismal Systems	156
WM04_S4_014	Environmental Information Processing	337
WM04_S4_014	Cellular Processes	229
WM04_S4_014	Human Diseases	201
WM04_S4_014	Brite Hierarchies	1640
WM04_S4_014	Not Included in Pathway or Brite	351
WM04_S4_014	Genetic Information Processing	200
WM04_S4_016	Metabolism	1870
WM04_S4_016	Environmental Information Processing	281
WM04_S4_016	Organismal Systems	127
WM04_S4_016	Cellular Processes	188
WM04_S4_016	Human Diseases	185
WM04_S4_016	Brite Hierarchies	1739
WM04_S4_016	Not Included in Pathway or Brite	498
WM04_S4_016	Genetic Information Processing	195
WM04_S4_017	Metabolism	658
WM04_S4_017	Environmental Information Processing	157
WM04_S4_017	Organismal Systems	41
WM04_S4_017	Human Diseases	84
WM04_S4_017	Brite Hierarchies	858
WM04_S4_017	Not Included in Pathway or Brite	173
WM04_S4_017	Genetic Information Processing	88
WM04_S4_017	Cellular Processes	158
WM04_S4_019	Metabolism	880
WM04_S4_019	Brite Hierarchies	918
WM04_S4_019	Environmental Information Processing	136
WM04_S4_019	Organismal Systems	47
WM04_S4_019	Human Diseases	158
WM04_S4_019	Not Included in Pathway or Brite	219
WM04_S4_019	Cellular Processes	168
WM04_S4_019	Genetic Information Processing	101
WM04_S4_022	Metabolism	1257
WM04_S4_022	Brite Hierarchies	1203
WM04_S4_022	Environmental Information Processing	155
WM04_S4_022	Human Diseases	251
WM04_S4_022	Not Included in Pathway or Brite	356
WM04_S4_022	Organismal Systems	90
WM04_S4_022	Genetic Information Processing	147
WM04_S4_022	Cellular Processes	190
WM04_S4_025	Metabolism	490
WM04_S4_025	Human Diseases	19
WM04_S4_025	Brite Hierarchies	467
WM04_S4_025	Not Included in Pathway or Brite	155
WM04_S4_025	Organismal Systems	21
WM04_S4_025	Environmental Information Processing	76
WM04_S4_025	Genetic Information Processing	70
WM04_S4_025	Cellular Processes	84
WM04_S4_027	Metabolism	1238
WM04_S4_027	Environmental Information Processing	212
WM04_S4_027	Organismal Systems	104
WM04_S4_027	Human Diseases	197
WM04_S4_027	Brite Hierarchies	1393
WM04_S4_027	Not Included in Pathway or Brite	356
WM04_S4_027	Cellular Processes	156
WM04_S4_027	Genetic Information Processing	142
WM04_S4_028	Metabolism	651
WM04_S4_028	Environmental Information Processing	116
WM04_S4_028	Brite Hierarchies	672
WM04_S4_028	Human Diseases	63
WM04_S4_028	Organismal Systems	31
WM04_S4_028	Not Included in Pathway or Brite	147
WM04_S4_028	Genetic Information Processing	105
WM04_S4_028	Cellular Processes	107
WM04_S4_032	Metabolism	164
WM04_S4_032	Brite Hierarchies	141
WM04_S4_032	Environmental Information Processing	20
WM04_S4_032	Human Diseases	14
WM04_S4_032	Not Included in Pathway or Brite	62
WM04_S4_032	Organismal Systems	5
WM04_S4_032	Cellular Processes	15
WM04_S4_032	Genetic Information Processing	15
WM04_S4_033	Metabolism	365
WM04_S4_033	Brite Hierarchies	428
WM04_S4_033	Not Included in Pathway or Brite	84
WM04_S4_033	Environmental Information Processing	119
WM04_S4_033	Organismal Systems	15
WM04_S4_033	Human Diseases	22
WM04_S4_033	Cellular Processes	76
WM04_S4_033	Genetic Information Processing	48
WM04_S4_036	Metabolism	1166
WM04_S4_036	Environmental Information Processing	148
WM04_S4_036	Organismal Systems	61
WM04_S4_036	Human Diseases	114
WM04_S4_036	Brite Hierarchies	1020
WM04_S4_036	Not Included in Pathway or Brite	238
WM04_S4_036	Cellular Processes	163
WM04_S4_036	Genetic Information Processing	156
WM04_S4_040	Metabolism	1101
WM04_S4_040	Environmental Information Processing	158
WM04_S4_040	Organismal Systems	54
WM04_S4_040	Human Diseases	109
WM04_S4_040	Brite Hierarchies	1104
WM04_S4_040	Not Included in Pathway or Brite	265
WM04_S4_040	Cellular Processes	130
WM04_S4_040	Genetic Information Processing	152
WM04_S4_047	Metabolism	681
WM04_S4_047	Cellular Processes	51
WM04_S4_047	Human Diseases	43
WM04_S4_047	Brite Hierarchies	573
WM04_S4_047	Environmental Information Processing	83
WM04_S4_047	Not Included in Pathway or Brite	98
WM04_S4_047	Genetic Information Processing	144
WM04_S4_047	Organismal Systems	17
WM04_S4_048	Metabolism	244
WM04_S4_048	Environmental Information Processing	36
WM04_S4_048	Brite Hierarchies	518
WM04_S4_048	Human Diseases	54
WM04_S4_048	Not Included in Pathway or Brite	68
WM04_S4_048	Genetic Information Processing	161
WM04_S4_048	Cellular Processes	24
WM04_S4_048	Organismal Systems	13
WM04_S4_049	Metabolism	450
WM04_S4_049	Human Diseases	38
