	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU157	692	1315	3146	20455	1595	840	6759	11247	10065	3662	486	371	12	13	18	18	144	339	69	51
OTU158	1	127	710	44	61	235	12553	631	1537	130	3	12	398	89	113	76	2236	33357	6660	1926
OTU159	0	8418	13261	358	2414	10328	1739	832	6693	521	33	75	330	439	1011	479	2516	6943	2789	1185
OTU160	16589	270	37439	106	291	180	310	308	203	83	4	17	62	150	270	192	536	1562	430	364
OTU161	0	411	192	35	37487	122	5052	7410	3064	581	121	96	19	976	167	76	510	1083	370	1527
OTU162	59126	0	136	0	0	3	0	2	4	1	0	0	0	0	3	3	0	7	5	4
OTU163	1	230	0	14	310	163	3531	1295	1254	1422	10	3	195	270	563	155	4762	38361	4703	1911
OTU164	0	11	7228	284	2412	12227	8154	3665	19205	4399	84	1	0	1	0	0	0	0	0	0
OTU165	0	56306	567	1	24	0	8	31	200	130	38	0	0	1	4	0	3	24	13	8
OTU166	1	81	479	35532	357	196	48	17460	92	1092	1	35	28	50	12	30	141	539	202	61
OTU167	0	93	5	53219	321	277	213	380	251	57	3	15	0	0	1	6	22	326	57	30
OTU168	0	13	5	1167	798	1737	19048	14248	13967	3551	248	122	0	1	16	0	9	41	10	3
OTU169	0	10490	13647	6	10654	4230	6644	916	2429	172	273	324	13	421	901	705	1961	45	503	68
OTU170	0	474	1	18862	460	631	606	1330	638	158	6	30	314	705	181	442	1908	7760	17405	2318
OTU171	0	344	2	282	96	86	17787	16449	11017	5553	386	353	14	14	54	5	189	879	413	78
OTU172	15	6613	1	41865	2117	2337	307	172	68	23	3	2	7	5	17	19	33	151	37	30
OTU173	1	439	2	67	130	396	1869	10647	2483	1369	20	15	331	134	571	194	7727	21194	4340	1707
OTU174	0	1722	467	49114	1149	11	20	286	37	341	7	14	1	42	65	10	235	38	6	52
OTU175	0	2736	1703	83	2076	81	5007	8355	3440	2692	132	256	61	2302	1702	3073	9520	3321	1536	5228
OTU176	2	1129	1549	97	422	507	598	1757	2231	1226	76	144	646	272	513	138	12899	22561	4817	1324
OTU177	0	226	1	760	242	450	6832	17714	18180	6086	376	1653	0	0	0	0	26	91	31	0
OTU178	0	4	0	78	0	3	5	12	9	2	0	3	0	0	0	0	0	49198	536	1798
OTU179	0	2401	1983	22	4329	79	6186	260	2181	5334	356	45	68	845	154	4568	2402	17436	1281	1213
OTU180	0	951	1819	27050	3105	365	1311	714	935	863	48	91	521	910	356	311	985	3351	2596	4473
OTU181	0	3471	6669	4542	6530	4048	6203	8945	6013	2951	279	275	4	15	2	1	50	188	43	27
OTU182	7	933	89	13868	1505	608	1480	2204	1644	929	98	127	198	367	415	485	2969	17281	2606	1394
