OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2211	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	Hypsibius dujardini
OTU2207	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Candidatus Nanopelagicus
OTU2214	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU2208	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	metagenome
OTU2216	Bacteria	Planctomycetota	OM190	?	?	?	?
OTU2212	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured Bacteroidetes bacterium
OTU2210	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	?
OTU2213	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Candidatus Fonsibacter ubiquis	?
OTU2215	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	?	?
OTU2219	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Captivus	?
OTU2217	Bacteria	Actinobacteriota	Acidimicrobiia	?	?	?	?
OTU2218	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	?	?
OTU2220	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	?	?	?
OTU2221	Bacteria	Chloroflexi	Dehalococcoidia	S085	?	?	?
OTU2222	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU2225	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	?
OTU2223	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	?	?	?
OTU2224	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	?	?
OTU2226	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU2227	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium branchiophilum
OTU2228	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU2230	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2229	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2233	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2231	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	uncultured beta proteobacterium
OTU2232	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2236	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU2235	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	metagenome
OTU2234	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	?	?
OTU2237	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	metagenome
OTU2240	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	?	?
OTU2241	Bacteria	Myxococcota	Polyangia	mle1-27	?	?	?
OTU2238	Eukaryota	Euglenozoa	Kinetoplastea	Eubodonida	?	Bodo	metagenome
OTU2239	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU2242	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU2246	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	?	?
OTU2244	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	?	?
OTU2243	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	?	?	?
OTU2245	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	DSSD61	?
OTU2249	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU2247	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	?	?
OTU2248	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	?
OTU2250	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2252	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2253	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	?
OTU2251	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	uncultured planctomycete	?
OTU2256	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	KCM-B-112	?
OTU2258	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	?
OTU2254	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	?	?
OTU2255	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	?	?	?
OTU2257	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	?
OTU2260	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU2266	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	?	?
OTU2261	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32	?
OTU2259	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU2267	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	?
OTU2262	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU2264	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU2263	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
OTU2265	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	?	?
OTU2268	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Endonucleariobacter	?
OTU2269	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	?
OTU2272	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU2274	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	?	?
OTU2270	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	?	?
OTU2271	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
OTU2273	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	metagenome
OTU2276	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU2277	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	?	?
OTU2275	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria	?
OTU2278	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	?
